,name,address,categories,id
442,Fairfield Recreation Complex,,recreation_ground,OSMway-39648209
443,William Birch Park,,recreation_ground;park,OSMway-39648234
444,Knickerbocker Country Club,Tenafly 188 Knickerbocker Road ,golf_course,OSMway-39648240
445,Schmidts Wood Park,,park,OSMway-39648248
446,Constitution Park,Fort Lee ,park,OSMway-39648275
447,Grace Buckley Park,,recreation_ground,OSMway-39648278
448,Albion Memorial Park,Clifton 201 Maplewood Road ,park,OSMway-39648302
449,Liberty Park,,park,OSMway-39648322
450,Bloomfield Town Green,,park,OSMway-39648328
451,Samuel Braen Park,,recreation_ground,OSMway-39648357
452,Mackay Park,,recreation_ground;park,OSMway-39648381
453,Brookdale Park,,park,OSMway-39648413
454,Tamblyn Field,,recreation_ground,OSMway-39648421
455,Brookdale Park,,park,OSMway-39648450
456,Soccer Field,,recreation_ground,OSMway-39648460
457,Schevchenko Park,,recreation_ground,OSMway-39648482
458,Station Park,,park,OSMway-39648487
459,Lyndhurst Municipal Park,,park,OSMway-39648539
460,Memorial Park,,park,OSMway-39648569
461,Wilde Memorial Park,,recreation_ground;park,OSMway-39648624
462,Latteri Park,Clifton 81 Allwood Place ,park,OSMway-39648706
463,Preakness HIlls Country Club,Wayne 1050 Ratzer Road ,golf_course,OSMway-39648737
464,Main Memorial Park,Clifton 1395 Main Avenue ,park,OSMway-39648749
465,Riggin Field,,recreation_ground,OSMway-39648761
466,Grover Cleveland Park,,park,OSMway-39648789
467,Riverside County Park South,North Arlington 799 Riverside Avenue ,park,OSMway-39648807
468,Hurrell Field,,park,OSMway-39648877
469,Eastside Park,,park,OSMway-39648883
470,Amman Park,,park,OSMway-39648884
471,Hickory Park,,park,OSMway-39648893
472,Dr. John Grieco Elementary School,,school,OSMway-39648894
473,Milton Voltee Park,,recreation_ground;park,OSMway-39648898
474,Dudiak Park,,recreation_ground,OSMway-39648902
475,Essex Park,,park,OSMway-39648910
476,Mills Reservation,,nature_reserve,OSMway-39648927
477,Robin Hood Park,Clifton 55 Broadale Road ,park,OSMway-39648945
478,Ploch's Farm,,vineyard,OSMway-39649061
479,Johnson Park,,park,OSMway-39649231
480,Witte Field Johnson Field,,recreation_ground,OSMway-39649245
481,Weasel Brook Park,Clifton 973 Park Drive ,park,OSMway-39649287
482,Belmont Hill Park,,park,OSMway-39649310
483,Cliff Gennarelli Sports Complex,,recreation_ground,OSMway-39649331
484,Nash Park,Clifton 700 Lexington Avenue ,recreation_ground;park,OSMway-39649355
485,Veterans Memorial Park,,park,OSMway-39649390
486,Orange Lawn Tennis Club,,recreation_ground,OSMway-39680063
487,Orange Park,,park,OSMway-39680064
488,Girl Scout Camp,,camp_site,OSMway-39680065
489,Mindowaskin Park,,park,OSMway-39680122
490,Rock Spring Golf Club at West Orange,West Orange 90 Rock Spring Road ,golf_course,OSMway-39680135
491,Kennedy Park,,recreation_ground,OSMway-39680166
492,Marion & Norman Tanzman Recreational Area,,recreation_ground,OSMway-39680198
493,Frank G. Memorial Park,,park,OSMway-39680224
494,Colonia Country Club,Rahway 300 Colonia Boulevard ,golf_course,OSMway-39680266
495,Shackamaxon Country Club,Scotch Plains US 100 Tillinghast Turn ,golf_course,OSMway-39680283
